x,y
169.8237398,0.017042809
171.0074797,0.167478711
-0.266666667,0.572614108
0.8,0.315352697
3.733333333,0.298755187
5.866666667,0.373443983
11.46666667,0.248962656
13.06666667,0.157676349
14.66666667,0.506224066
15.2,0.547717842
17.86666667,0.497925311
20.53333333,0.580912863
21.6,0.639004149
22.66666667,0.572614108
24.53333333,0.589211618
26.66666667,0.746887967
26.13333333,0.65560166
3.466666667,0.489626556
2.4,0.547717842
25.6,0.373443983
26.66666667,0.43153527
34.66666667,0.390041494
42.93333333,0.390041494
44.53333333,0.398340249
45.6,0.315352697
52.8,0.456431535
53.86666667,0.497925311
54.93333333,0.489626556
55.73333333,0.44813278
57.86666667,0.456431535
60.26666667,0.489626556
52.26666667,0.572614108
47.73333333,0.871369295
50.66666667,0.929460581
51.46666667,0.904564315
46.4,1.004149378
42.93333333,0.871369295
41.86666667,0.970954357
35.46666667,0.921161826
38.4,0.489626556
27.46666667,0.248962656
30.13333333,0.257261411
30.93333333,0.273858921
32.53333333,0.232365145
11.2,0.556016598
111.7333333,1.717842324
54.93333333,1.029045643
56.26666667,0.979253112
58.93333333,0.854771784
59.46666667,0.796680498
64.8,0.904564315
62.13333333,0.987551867
60,1.070539419
62.13333333,1.062240664
62.4,1.112033195
63.73333333,1.112033195
53.86666667,1.12033195
67.73333333,1.468879668
69.06666667,1.443983402
69.33333333,1.369294606
73.33333333,1.32780083
70.13333333,1.244813278
67.2,1.170124481
70.66666667,1.095435685
71.73333333,0.995850622
75.73333333,0.987551867
76.8,1.020746888
76.8,1.095435685
74.66666667,1.12033195
75.2,1.170124481
80,0.987551867
91.2,0.979253112
90.13333333,1.078838174
86.93333333,1.078838174
85.86666667,1.087136929
85.06666667,1.219917012
90.93333333,1.203319502
92.8,1.136929461
93.86666667,1.178423237
97.86666667,1.136929461
101.8666667,1.153526971
85.86666667,1.543568465
88.8,1.510373444
87.73333333,1.493775934
84.8,1.377593361
72.8,1.576763485
81.06666667,1.294605809
83.2,1.319502075
78.13333333,1.253112033
75.2,1.228215768
66.93333333,1.095435685
68,1.10373444
69.86666667,1.136929461
64.53333333,1.203319502
61.6,1.195020747
59.2,1.145228216
57.86666667,1.211618257
55.73333333,1.211618257
62.93333333,1.286307054
97.86666667,1.34439834
99.73333333,1.435684647
98.93333333,1.56846473
96.53333333,1.518672199
96,1.692946058
104,1.394190871
101.8666667,1.410788382
108,1.435684647
111.2,1.360995851
112.8,1.369294606
109.8666667,1.269709544
108.8,1.228215768
107.4666667,1.228215768
114.9333333,1.186721992
112.8,1.195020747
112,1.136929461
113.6,1.136929461
118.4,1.145228216
117.8666667,1.186721992
